DetailID,OrderID,ProductID,Quantity,UnitPrice,TotalPrice
1,528,13,1,82.2,82.2
2,1934,18,5,233.15,1165.75
3,462,5,6,149.06,894.36
4,1838,13,3,82.2,246.6
5,180,24,7,82.31,576.17
6,1067,22,10,198.15,1981.5
7,1788,21,4,361.99,1447.96
8,855,8,10,55.76,557.6
9,313,14,5,32.64,163.2
10,1864,20,6,292.08,1752.48
11,920,18,3,233.15,699.45
12,424,21,3,361.99,1085.97
13,1190,18,4,233.15,932.6
14,1767,5,5,149.06,745.3
15,1411,23,9,205.83,1852.47
16,1863,5,7,149.06,1043.42
17,1862,25,3,346.93,1040.79
18,1344,19,3,444.21,1332.63
19,651,3,9,370.62,3335.58
20,1092,24,2,82.31,164.62
21,378,11,3,162.11,486.33
22,1490,1,6,398.93,2393.58
23,1803,14,7,32.64,228.48
24,622,15,5,492.13,2460.65
25,312,25,4,346.93,1387.72
26,219,5,3,149.06,447.18
27,54,25,10,346.93,3469.3
28,1264,9,10,476.48,4764.8
29,1162,20,4,292.08,1168.32
30,1222,8,4,55.76,223.04
31,1408,1,6,398.93,2393.58
32,163,23,8,205.83,1646.64
33,275,17,10,386.56,3865.6
34,961,23,6,205.83,1234.98
35,377,13,8,82.2,657.6
36,971,5,3,149.06,447.18
37,396,8,1,55.76,55.76
38,837,25,1,346.93,346.93
39,1896,9,7,476.48,3335.36
40,456,24,4,82.31,329.24
41,1552,7,2,313.44,626.88
42,363,15,10,492.13,4921.3
43,1004,23,6,205.83,1234.98
44,1776,15,4,492.13,1968.52
45,876,13,1,82.2,82.2
46,1246,24,7,82.31,576.17
47,1475,11,7,162.11,1134.77
48,1253,24,10,82.31,823.1
49,1217,18,9,233.15,2098.35
50,1314,23,1,205.83,205.83
51,1067,4,8,332.84,2662.72
52,936,2,4,480.32,1921.28
53,1063,18,7,233.15,1632.05
54,1506,2,9,480.32,4322.88
55,794,17,1,386.56,386.56
56,389,10,8,125.09,1000.72
57,816,10,5,125.09,625.45
58,945,6,7,335.29,2347.03
59,603,20,1,292.08,292.08
60,1414,17,3,386.56,1159.68
61,950,21,8,361.99,2895.92
62,186,24,9,82.31,740.79
63,232,6,10,335.29,3352.9
64,1921,23,9,205.83,1852.47
65,278,13,7,82.2,575.4
66,663,15,1,492.13,492.13
67,367,15,10,492.13,4921.3
68,1837,23,4,205.83,823.32
69,1808,15,2,492.13,984.26
70,513,11,3,162.11,486.33
71,1472,24,2,82.31,164.62
72,187,4,8,332.84,2662.72
73,1299,12,2,405.22,810.44
74,1073,23,7,205.83,1440.81
75,1489,17,10,386.56,3865.6
76,1946,6,7,335.29,2347.03
77,1128,13,1,82.2,82.2
78,1574,6,6,335.29,2011.74
79,1159,22,3,198.15,594.45
80,333,5,3,149.06,447.18
81,1576,23,1,205.83,205.83
82,860,10,5,125.09,625.45
83,1496,25,8,346.93,2775.44
84,592,21,3,361.99,1085.97
85,241,5,4,149.06,596.24
86,8,20,5,292.08,1460.4
87,26,15,8,492.13,3937.04
88,1752,16,9,309.52,2785.68
89,1654,1,10,398.93,3989.3
90,1808,16,4,309.52,1238.08
91,445,19,8,444.21,3553.68
92,930,14,8,32.64,261.12
93,163,20,10,292.08,2920.8
94,14,8,9,55.76,501.84
95,570,20,9,292.08,2628.72
96,1680,7,1,313.44,313.44
97,379,5,1,149.06,149.06
98,1338,12,1,405.22,405.22
99,298,2,10,480.32,4803.2
100,1717,20,5,292.08,1460.4
101,679,3,1,370.62,370.62
102,224,14,3,32.64,97.92
103,331,22,5,198.15,990.75
104,1252,22,10,198.15,1981.5
105,1173,18,3,233.15,699.45
106,1979,15,10,492.13,4921.3
107,738,2,2,480.32,960.64
108,1574,10,6,125.09,750.54
109,755,13,2,82.2,164.4
110,1554,14,9,32.64,293.76
111,133,10,8,125.09,1000.72
112,276,4,5,332.84,1664.2
113,675,17,7,386.56,2705.92
114,1075,7,4,313.44,1253.76
115,1254,2,2,480.32,960.64
116,1171,24,9,82.31,740.79
117,180,16,10,309.52,3095.2
118,1913,23,5,205.83,1029.15
119,875,20,6,292.08,1752.48
120,532,17,10,386.56,3865.6
121,1277,12,3,405.22,1215.66
122,1259,19,8,444.21,3553.68
123,1065,24,8,82.31,658.48
124,1009,6,10,335.29,3352.9
125,477,23,5,205.83,1029.15
126,397,1,2,398.93,797.86
127,50,15,2,492.13,984.26
128,1511,7,10,313.44,3134.4
129,850,14,1,32.64,32.64
130,684,12,9,405.22,3646.98
131,1651,21,4,361.99,1447.96
132,24,21,4,361.99,1447.96
133,1414,10,5,125.09,625.45
134,1619,3,5,370.62,1853.1
135,615,17,9,386.56,3479.04
136,664,25,1,346.93,346.93
137,234,22,6,198.15,1188.9
138,700,13,10,82.2,822.0
139,1262,1,3,398.93,1196.79
140,398,11,6,162.11,972.66
141,1889,22,8,198.15,1585.2
142,1877,16,1,309.52,309.52
143,1323,5,8,149.06,1192.48
144,319,21,8,361.99,2895.92
145,1827,18,6,233.15,1398.9
146,948,14,1,32.64,32.64
147,1711,17,5,386.56,1932.8
148,1158,24,6,82.31,493.86
149,1138,18,1,233.15,233.15
150,427,19,6,444.21,2665.26
151,1638,12,2,405.22,810.44
152,1986,5,5,149.06,745.3
153,1722,1,6,398.93,2393.58
154,769,21,9,361.99,3257.91
155,1726,6,10,335.29,3352.9
156,1241,13,3,82.2,246.6
157,1219,4,5,332.84,1664.2
158,1445,11,1,162.11,162.11
159,557,14,2,32.64,65.28
160,1018,8,6,55.76,334.56
161,926,10,4,125.09,500.36
162,1076,10,3,125.09,375.27
163,230,12,1,405.22,405.22
164,1593,7,2,313.44,626.88
165,909,17,1,386.56,386.56
166,1637,16,9,309.52,2785.68
167,316,7,6,313.44,1880.64
168,1892,16,9,309.52,2785.68
169,636,25,6,346.93,2081.58
170,294,25,2,346.93,693.86
171,1684,17,3,386.56,1159.68
172,421,24,1,82.31,82.31
173,941,13,9,82.2,739.8
174,238,1,5,398.93,1994.65
175,1910,2,10,480.32,4803.2
176,1786,3,6,370.62,2223.72
177,957,2,2,480.32,960.64
178,1067,25,5,346.93,1734.65
179,47,19,5,444.21,2221.05
180,1309,7,6,313.44,1880.64
181,411,7,5,313.44,1567.2
182,567,18,6,233.15,1398.9
183,1583,15,2,492.13,984.26
184,559,5,3,149.06,447.18
185,561,4,1,332.84,332.84
186,1963,20,9,292.08,2628.72
187,1053,4,4,332.84,1331.36
188,1112,12,9,405.22,3646.98
189,653,9,3,476.48,1429.44
190,1932,23,5,205.83,1029.15
191,1176,8,3,55.76,167.28
192,146,10,10,125.09,1250.9
193,1828,11,9,162.11,1458.99
194,909,2,3,480.32,1440.96
195,60,16,1,309.52,309.52
196,217,13,1,82.2,82.2
197,177,14,7,32.64,228.48
198,367,23,10,205.83,2058.3
199,1826,19,8,444.21,3553.68
200,1263,12,5,405.22,2026.1
201,681,7,9,313.44,2820.96
202,161,25,8,346.93,2775.44
203,1163,5,2,149.06,298.12
204,1665,23,8,205.83,1646.64
205,200,15,5,492.13,2460.65
206,1402,21,8,361.99,2895.92
207,964,8,4,55.76,223.04
208,295,20,5,292.08,1460.4
209,1870,12,7,405.22,2836.54
210,376,23,6,205.83,1234.98
211,1616,11,8,162.11,1296.88
212,999,1,2,398.93,797.86
213,974,4,6,332.84,1997.04
214,981,15,3,492.13,1476.39
215,579,25,6,346.93,2081.58
216,1238,19,3,444.21,1332.63
217,1041,4,7,332.84,2329.88
218,1675,23,2,205.83,411.66
219,668,18,2,233.15,466.3
220,1623,10,9,125.09,1125.81
221,945,13,10,82.2,822.0
222,847,8,10,55.76,557.6
223,500,18,3,233.15,699.45
224,1995,16,7,309.52,2166.64
225,136,11,4,162.11,648.44
226,1667,23,10,205.83,2058.3
227,883,14,10,32.64,326.4
228,1613,11,9,162.11,1458.99
229,1422,8,3,55.76,167.28
230,1358,22,2,198.15,396.3
231,1515,23,10,205.83,2058.3
232,1714,16,2,309.52,619.04
233,1213,20,8,292.08,2336.64
234,667,18,2,233.15,466.3
235,1684,15,3,492.13,1476.39
236,631,13,2,82.2,164.4
237,1226,4,10,332.84,3328.4
238,1580,13,6,82.2,493.2
239,1013,21,1,361.99,361.99
240,186,7,3,313.44,940.32
241,1818,19,1,444.21,444.21
242,1551,5,3,149.06,447.18
243,928,18,5,233.15,1165.75
244,799,20,10,292.08,2920.8
245,916,7,4,313.44,1253.76
246,1396,11,5,162.11,810.55
247,1168,22,5,198.15,990.75
248,1882,14,6,32.64,195.84
249,183,19,1,444.21,444.21
250,1253,17,7,386.56,2705.92
251,1736,5,5,149.06,745.3
252,128,12,9,405.22,3646.98
253,1983,2,1,480.32,480.32
254,1441,18,6,233.15,1398.9
255,225,10,1,125.09,125.09
256,482,14,10,32.64,326.4
257,808,21,6,361.99,2171.94
258,1458,13,7,82.2,575.4
259,782,14,9,32.64,293.76
260,433,22,3,198.15,594.45
261,973,5,4,149.06,596.24
262,1138,13,6,82.2,493.2
263,1721,14,3,32.64,97.92
264,591,22,3,198.15,594.45
265,276,1,2,398.93,797.86
266,1328,1,3,398.93,1196.79
267,1478,16,7,309.52,2166.64
268,1997,5,2,149.06,298.12
269,282,21,7,361.99,2533.93
270,1762,15,10,492.13,4921.3
271,1906,14,10,32.64,326.4
272,369,15,9,492.13,4429.17
273,869,18,8,233.15,1865.2
274,788,12,4,405.22,1620.88
275,381,14,10,32.64,326.4
276,16,19,8,444.21,3553.68
277,1735,24,4,82.31,329.24
278,1459,17,5,386.56,1932.8
279,842,18,10,233.15,2331.5
280,752,2,1,480.32,480.32
281,1164,16,6,309.52,1857.12
282,232,19,8,444.21,3553.68
283,1970,23,2,205.83,411.66
284,291,24,9,82.31,740.79
285,1760,25,5,346.93,1734.65
286,953,17,2,386.56,773.12
287,1072,20,2,292.08,584.16
288,503,16,2,309.52,619.04
289,1401,21,9,361.99,3257.91
290,1635,19,5,444.21,2221.05
291,1256,2,6,480.32,2881.92
292,1096,25,1,346.93,346.93
293,961,15,9,492.13,4429.17
294,1856,16,10,309.52,3095.2
295,1503,11,7,162.11,1134.77
296,723,10,5,125.09,625.45
297,344,2,10,480.32,4803.2
298,1535,10,10,125.09,1250.9
299,534,2,8,480.32,3842.56
300,1185,6,10,335.29,3352.9
301,106,22,5,198.15,990.75
302,1657,24,10,82.31,823.1
303,56,10,8,125.09,1000.72
304,169,5,9,149.06,1341.54
305,158,9,5,476.48,2382.4
306,272,20,5,292.08,1460.4
307,564,9,1,476.48,476.48
308,1519,4,10,332.84,3328.4
309,358,19,3,444.21,1332.63
310,1350,15,6,492.13,2952.78
311,1655,6,5,335.29,1676.45
312,1603,23,4,205.83,823.32
313,994,6,9,335.29,3017.61
314,1766,2,6,480.32,2881.92
315,173,5,10,149.06,1490.6
316,1913,5,8,149.06,1192.48
317,1542,14,7,32.64,228.48
318,488,22,8,198.15,1585.2
319,1487,21,3,361.99,1085.97
320,432,19,6,444.21,2665.26
321,112,21,5,361.99,1809.95
322,1548,4,1,332.84,332.84
323,344,15,7,492.13,3444.91
324,976,10,8,125.09,1000.72
325,1529,25,9,346.93,3122.37
326,479,13,7,82.2,575.4
327,972,9,3,476.48,1429.44
328,1087,14,1,32.64,32.64
329,592,15,7,492.13,3444.91
330,1390,11,9,162.11,1458.99
331,1399,2,2,480.32,960.64
332,1880,18,6,233.15,1398.9
333,1959,14,10,32.64,326.4
334,1881,21,5,361.99,1809.95
335,687,9,5,476.48,2382.4
336,1644,4,5,332.84,1664.2
337,1341,19,7,444.21,3109.47
338,945,25,4,346.93,1387.72
339,1504,22,10,198.15,1981.5
340,1578,7,9,313.44,2820.96
341,692,22,3,198.15,594.45
342,642,18,1,233.15,233.15
343,1378,1,2,398.93,797.86
344,25,14,2,32.64,65.28
345,1076,4,8,332.84,2662.72
346,720,8,5,55.76,278.8
347,516,7,1,313.44,313.44
348,49,20,2,292.08,584.16
349,117,20,4,292.08,1168.32
350,1947,20,2,292.08,584.16
351,1451,4,2,332.84,665.68
352,1754,20,3,292.08,876.24
353,770,22,10,198.15,1981.5
354,1645,6,2,335.29,670.58
355,1425,6,5,335.29,1676.45
356,604,15,2,492.13,984.26
357,1309,15,5,492.13,2460.65
358,1576,14,6,32.64,195.84
359,528,6,2,335.29,670.58
360,568,25,1,346.93,346.93
361,784,13,6,82.2,493.2
362,124,9,5,476.48,2382.4
363,365,15,2,492.13,984.26
364,1008,7,10,313.44,3134.4
365,805,6,8,335.29,2682.32
366,223,5,9,149.06,1341.54
367,1575,14,4,32.64,130.56
368,1258,21,2,361.99,723.98
369,1870,15,5,492.13,2460.65
370,212,2,2,480.32,960.64
371,145,19,5,444.21,2221.05
372,1592,15,1,492.13,492.13
373,1837,16,3,309.52,928.56
374,1338,21,1,361.99,361.99
375,1911,2,7,480.32,3362.24
376,546,5,6,149.06,894.36
377,1853,13,10,82.2,822.0
378,8,17,8,386.56,3092.48
379,980,14,7,32.64,228.48
380,1729,24,2,82.31,164.62
381,1107,8,1,55.76,55.76
382,788,23,8,205.83,1646.64
383,249,19,9,444.21,3997.89
384,1915,12,6,405.22,2431.32
385,1397,10,7,125.09,875.63
386,114,21,2,361.99,723.98
387,749,18,6,233.15,1398.9
388,165,15,5,492.13,2460.65
389,1327,7,3,313.44,940.32
390,1136,2,7,480.32,3362.24
391,1354,7,5,313.44,1567.2
392,1426,13,2,82.2,164.4
393,1292,23,6,205.83,1234.98
394,997,3,8,370.62,2964.96
395,1506,7,3,313.44,940.32
396,74,7,1,313.44,313.44
397,1475,19,4,444.21,1776.84
398,1002,13,2,82.2,164.4
399,1624,18,5,233.15,1165.75
400,1024,18,8,233.15,1865.2
401,1980,1,1,398.93,398.93
402,695,2,6,480.32,2881.92
403,1614,24,1,82.31,82.31
404,831,4,4,332.84,1331.36
405,1653,21,9,361.99,3257.91
406,939,22,9,198.15,1783.35
407,306,24,10,82.31,823.1
408,478,3,1,370.62,370.62
409,1507,5,8,149.06,1192.48
410,1340,1,8,398.93,3191.44
411,1858,20,1,292.08,292.08
412,498,23,3,205.83,617.49
413,30,6,1,335.29,335.29
414,1853,10,2,125.09,250.18
415,935,20,3,292.08,876.24
416,1711,19,2,444.21,888.42
417,1675,4,2,332.84,665.68
418,1019,20,10,292.08,2920.8
419,452,3,4,370.62,1482.48
420,873,11,7,162.11,1134.77
421,665,4,10,332.84,3328.4
422,1118,5,6,149.06,894.36
423,1714,7,1,313.44,313.44
424,1215,6,6,335.29,2011.74
425,130,4,5,332.84,1664.2
426,290,25,7,346.93,2428.51
427,345,23,6,205.83,1234.98
428,1134,6,8,335.29,2682.32
429,499,19,1,444.21,444.21
430,274,4,10,332.84,3328.4
431,771,25,3,346.93,1040.79
432,33,16,2,309.52,619.04
433,14,1,3,398.93,1196.79
434,1897,3,10,370.62,3706.2
435,1817,10,7,125.09,875.63
436,1421,25,8,346.93,2775.44
437,1418,5,4,149.06,596.24
438,294,21,5,361.99,1809.95
439,1072,15,7,492.13,3444.91
440,490,6,10,335.29,3352.9
441,1417,2,10,480.32,4803.2
442,369,23,8,205.83,1646.64
443,1254,3,5,370.62,1853.1
444,713,14,1,32.64,32.64
445,1143,8,4,55.76,223.04
446,241,17,2,386.56,773.12
447,1268,12,9,405.22,3646.98
448,1040,8,8,55.76,446.08
449,1578,21,4,361.99,1447.96
450,567,2,4,480.32,1921.28
451,231,5,8,149.06,1192.48
452,1019,6,3,335.29,1005.87
453,1373,2,1,480.32,480.32
454,1321,12,5,405.22,2026.1
455,430,14,5,32.64,163.2
456,685,20,8,292.08,2336.64
457,89,4,1,332.84,332.84
458,1895,18,3,233.15,699.45
459,324,1,8,398.93,3191.44
460,1055,4,2,332.84,665.68
461,1834,8,8,55.76,446.08
462,1214,19,6,444.21,2665.26
463,859,7,6,313.44,1880.64
464,472,25,2,346.93,693.86
